<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20220601,152500,61909,61911,61860,61879,4466
SPFB.Si,1,20220601,152600,61878,61925,61872,61894,2176
SPFB.Si,1,20220601,152700,61894,61912,61880,61900,861
SPFB.Si,1,20220601,152800,61900,61922,61870,61870,1509
SPFB.Si,1,20220601,152900,61874,61943,61869,61928,2245
SPFB.Si,1,20220601,153000,61937,61938,61870,61901,2202
SPFB.Si,1,20220601,153100,61908,61979,61902,61955,2660
SPFB.Si,1,20220601,153200,61959,62018,61951,62009,3225
SPFB.Si,1,20220601,153300,62009,62010,61902,61922,4568
SPFB.Si,1,20220601,153400,61923,61975,61903,61975,1944
SPFB.Si,1,20220601,153500,61971,61999,61956,61991,1705
SPFB.Si,1,20220601,153600,61996,61999,61971,61991,895
SPFB.Si,1,20220601,153700,61991,62049,61991,62035,2365
SPFB.Si,1,20220601,153800,62035,62040,61992,61992,1089
SPFB.Si,1,20220601,153900,61990,61990,61950,61950,1095
SPFB.Si,1,20220601,154000,61957,61992,61950,61977,924
SPFB.Si,1,20220601,154100,61978,61995,61968,61982,774
SPFB.Si,1,20220601,154200,61985,62082,61984,62035,4180
SPFB.Si,1,20220601,154300,62041,62042,62000,62022,1157
SPFB.Si,1,20220601,154400,62022,62137,62021,62124,3910
SPFB.Si,1,20220601,154500,62121,62128,62065,62086,2148
SPFB.Si,1,20220601,154600,62084,62196,62084,62194,8797
SPFB.Si,1,20220601,154700,62193,62220,62166,62208,5592
SPFB.Si,1,20220601,154800,62206,62250,62178,62219,5671
SPFB.Si,1,20220601,154900,62214,62287,62211,62224,9480
SPFB.Si,1,20220601,155000,62227,62231,62030,62189,8585
SPFB.Si,1,20220601,155100,62190,62206,62138,62150,2809
SPFB.Si,1,20220601,155200,62144,62180,62120,62156,3016
SPFB.Si,1,20220601,155300,62164,62165,62117,62136,1255
SPFB.Si,1,20220601,155400,62136,62184,62134,62177,2116
SPFB.Si,1,20220601,155500,62178,62338,62160,62330,7348
SPFB.Si,1,20220601,155600,62332,62443,62288,62419,13588
